Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2681603,IJ-120,SA00775,1498,42,0,4,PC,N148/18,1.77,177824,3498,0,568,609.796,191
2680835,IJ-120,SA01422,1182,20,0,5,PC,N148/18,3.249,179006,3518,0,573,613.0450000000001,190
2680835,IJ-120,SA01422,1004,8,0,3,PC,N148/18,2.7640000000000002,180010,3526,0,576,615.8090000000001,189
2681727,IJ-120,SA07065,413,1,0,2,PC,N148/18,2.18,180423,3527,0,578,617.989,188
2681727,IJ-120,SA07065,1612,10,0,4,PC,N148/18,3.7700000000000005,182035,3537,0,582,621.759,187
2681771,IJ-120,SA00880,1624,4,0,4,PC,N148/18,3.465,183659,3541,0,586,625.224,186
2681833,IJ-120,SA08321,1608,12,0,4,PC,N148/18,3.73,185267,3553,0,590,628.9540000000001,185
2680830,IJ-120,SA08395,959,19,0,5,PC,N-142/67,4.634,186226,3572,0,595,633.5880000000001,184
2681746,IJ-120,SA02693,1091,16,0,7,PC,N148/18,9.419,187317,3588,0,602,643.0070000000001,183
2681746,IJ-120,SA02693,848,5,0,2,PC,N148/18,2.4,188165,3593,0,604,645.407,182
2681746,IJ-120,SA02693,280,15,0,2,PC,N148/18,2.4,188445,3608,0,606,647.807,181
2681746,IJ-120,SA02693,1426,21,0,3,PC,N148/18,3.5999999999999996,189871,3629,0,609,651.407,180
2681746,IJ-120,SA02693,1482,4,0,3,PC,N148/18,3.5999999999999996,191353,3633,0,612,655.0070000000001,179
2681746,IJ-120,SA02693,1463,8,0,3,PC,N148/18,3.5999999999999996,192816,3641,0,615,658.6070000000001,178
2682261,IJ-120,SA00484,1473,12,0,4,PC,N146/9,4.0649999999999995,194289,3653,0,619,662.6720000000001,177
2682261,IJ-120,SA00484,1485,18,0,4,PC,N146/9,2.11,195774,3671,0,623,664.7820000000002,176
2682267,IJ-120,SA13359,373,4,0,3,PC,N146/9,1.77,196147,3675,0,626,666.5520000000001,174
2682267,IJ-120,SA13359,1654,9,0,4,PC,N146/9,2.36,197801,3684,0,630,668.9120000000001,173
2682267,IJ-120,SA13359,1540,16,0,3,PC,N146/9,1.77,199341,3700,0,633,670.6820000000001,172
2682309,IJ-120,SA02020,1019,31,0,4,PC,N148/18,7.924,200360,3731,0,637,678.6060000000001,171
2682309,IJ-120,SA02020,1602,6,0,3,PC,N148/18,6.540000000000001,201962,3737,0,640,685.1460000000001,170
2682309,IJ-120,SA02020,1564,2,0,4,PC,N148/18,8.72,203526,3739,0,644,693.8660000000001,169
2682309,IJ-120,SA02020,496,5,0,2,PC,N148/18,4.36,204022,3744,0,646,698.2260000000001,168
2682309,IJ-120,SA02020,334,3,0,2,PC,N148/18,4.36,204356,3747,0,648,702.5860000000001,167
2682309,IJ-120,SA02020,1500,23,0,4,PC,N148/18,7.265000000000001,205856,3770,0,652,709.8510000000001,166
2682951,IJ-120,SA02420,1384,13,0,4,PC,N148/18,2.4,207240,3783,0,656,712.2510000000001,165
2682951,IJ-120,SA02420,1142,13,0,5,PC,N148/18,4.755,208382,3796,0,661,717.0060000000001,164
2683389,IJ-120,SA07395,1508,9,0,4,PC,N148/18,1.9649999999999999,209890,3805,0,665,718.9710000000001,163
2683443,IJ-120,SA02420,1584,22,0,3,PC,N148/18,0.705,211474,3827,0,668,719.6760000000002,162
2683443,IJ-120,SA02420,43,0,0,1,PC,N148/18,0.235,211517,3827,0,669,719.9110000000002,161
2683443,IJ-120,SA02420,386,14,0,2,PC,N148/18,0.47,211903,3841,0,671,720.3810000000002,160
2683443,IJ-120,SA02420,1562,14,0,3,PC,N148/18,1.06,213465,3855,0,674,721.4410000000001,159
2682267,IJ-120,SA13359,1719,26,0,3,PC,N146/9,1.77,215184,3881,0,677,723.2110000000001,158
2683732,IJ-120,SA01660,1486,19,0,4,PC,N148/18,2.29,216670,3900,0,681,725.5010000000001,157
2683761,IJ-120,SA01918,1364,35,0,5,PC,N148/18,9.585,218034,3935,0,686,735.0860000000001,156
2683819,IJ-120,SA01963,1182,52,0,5,PC,N148/18,4.63,219216,3987,0,691,739.7160000000001,155
2683819,IJ-120,SA01963,199,7,0,2,PC,N148/18,0.7,219415,3994,0,693,740.4160000000002,153
2683819,IJ-120,SA01963,1645,19,0,3,PC,N148/18,1.0499999999999998,221060,4013,0,696,741.4660000000001,152
2683819,IJ-120,SA01963,1666,8,0,3,PC,N148/18,1.0499999999999998,222726,4021,0,699,742.5160000000001,151
2683928,IJ-120,SA00995,1654,28,0,4,PC,N148/18,1.43,224380,4049,0,703,743.946,150
2683615,IJ-120,SA01829,1577,31,0,4,PC,N146/9,3.66,225957,4080,0,707,747.606,149
2683615,IJ-120,SA01829,1546,15,0,4,PC,N146/9,5.88,227503,4095,0,711,753.486,148
2683615,IJ-120,SA01829,316,1,0,2,PC,N146/9,2.94,227819,4096,0,713,756.426,146
2683615,IJ-120,SA01829,1446,9,0,4,PC,N146/9,6.31,229265,4105,0,717,762.736,145
